run_id,round,client_id,veh_id,selected,committed,drop_reason,drop_group,drop_stage,dl_reason,ul_reason,dl_dist_start_m,dl_dist_end_m,ul_dist_start_m,ul_dist_end_m,dl_rx_power_dbm,dl_sinr_db,dl_per,ul_rx_power_dbm,ul_sinr_db,ul_per,t_round_start,t_deadline,t_dl_done,t_ul_start,t_ul_done,t_down,t_train,t_up,dl_ok,ul_ok,dl_goodput_mbps,ul_goodput_mbps,dl_rtt_ms,ul_rtt_ms,e_comp_j,co2_comp_g,e_comm_j,co2_comm_g,co2_total_g
20260324_203025,9,0b9abd7dfafd49f9a1100faa67f2bf9c,flow0.0,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,202.48089900869948,204.08089900869948,206.2802679656665,2.480899008699481,1.6,2.199368956967021,1,1,6.736893427515482,7.609411736403452,13.346296978110956,12.557843923232845,0.16,6.577777777777778e-06,5.7799524441500125,0.0002376202671483894,0.00024419804492616717
20260324_203025,9,0f6739db85574684b10b5dbe4a89e90d,flow0.9,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,203.76493147215666,205.70493147215666,208.91732851655638,3.764931472156661,1.94,3.2123970443997223,1,1,4.479060620991596,5.349794351898361,16.368057907889416,14.976905139606512,0.19399999999999998,7.975555555555555e-06,8.583527038756245,0.0003528783338155345,0.0003608538893710901
20260324_203025,9,10f63f9ef1644d28946f55811d5c0f45,flow0.4,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,202.92371603175744,206.60371603175744,209.0213590593018,2.9237160317574364,3.68,2.417643027544358,1,1,5.6798709572425965,7.265113964397869,14.53521260554311,12.851961248693598,0.368,1.5128888888888888e-05,6.550180573073973,0.00026928520133748555,0.0002844140902263744
20260324_203025,9,181563262af349458de801a4db799a04,flow0.6,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,203.2248512039446,208.6948512039446,211.08666627680924,3.22485120394461,5.47,2.391815072864631,1,1,5.304531735918782,7.072831816107472,15.04066703130099,13.025486629751175,0.5469999999999999,2.2487777777777777e-05,6.812573813241556,0.00028007247898881955,0.00030256025676659735
20260324_203025,9,612533092bcd4bd8b78cb4eb9783fa39,flow0.3,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,202.78847253747665,208.84847253747665,211.00783187446757,2.7884725374766504,6.06,2.159359336990917,1,1,5.968857851955487,7.869380472744382,14.178980487894714,12.348674733369402,0.6059999999999999,2.4913333333333327e-05,6.027511542963026,0.0002477976967662577,0.00027271103009959103
20260324_203025,9,6aa9a802015647ea8ec960696c2830ee,flow0.5,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,203.07146513384825,209.51146513384825,211.81790430699516,3.0714651338482497,6.44,2.306439173146913,1,1,5.592657264850417,7.391294174949215,14.648107563400215,12.741788125222717,0.644,2.6475555555555555e-05,6.531123893568619,0.00026850176006893215,0.0002949773156244877
20260324_203025,9,6d3db814bb0b4534926ae1354c441edf,flow0.1,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,202.58328842453957,209.11328842453958,211.20542664701412,2.5832884245395746,6.53,2.0921382224745457,1,1,6.455158720700161,8.099292230660295,13.634435457139098,12.172144195093933,0.653,2.6845555555555557e-05,5.721495758251393,0.00023521704783922395,0.00026206260339477953
20260324_203025,9,7439a0c84cc8439dba57f0e4ee0afcc2,flow0.2,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,202.67571481558898,203.90571481558896,206.33070833898947,2.675714815588975,1.23,2.4249935234005022,1,1,6.230114890073285,7.152454584903022,13.878502092693974,12.952782367462548,0.12299999999999998,5.056666666666666e-06,6.3132051006897285,0.0002595428763616888,0.0002645995430283555
20260324_203025,9,7c04ed9b2469460cae72a9bf9b16ee66,flow0.8,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,203.57949642791735,211.21949642791733,213.7401134646941,3.5794964279173485,7.64,2.5206170367767697,1,1,4.731281767666369,6.789540671113222,15.925798501464751,13.294451559002937,0.7639999999999999,3.140888888888889e-05,7.360421983082503,0.0003025951259711696,0.0003340040148600585
20260324_203025,9,ef4d4378072c418390660023bb08e754,flow0.7,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,225.0,203.39375530002783,212.28375530002785,214.58863356209125,3.393755300027834,8.89,2.304878262063397,1,1,5.0149271546282534,7.202328158071955,15.468859986510864,12.907857744006634,0.889,3.6547777777777785e-05,6.85107269312293,0.000281655210717276,0.0003182029884950538
20260324_203025,10,0b9abd7dfafd49f9a1100faa67f2bf9c,flow0.10,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,228.56055511350047,231.42055511350048,234.3620181468245,3.5605551135004703,2.86,2.941463033324027,1,1,4.759300797905012,5.923685547061277,15.878849995216164,14.232940205778302,0.286,1.1757777777777777e-05,7.9727496634865105,0.00032776859727666767,0.00033952637505444544
20260324_203025,10,0f6739db85574684b10b5dbe4a89e90d,flow0.9,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,226.99914447354055,228.93914447354055,231.1806129290462,1.9991444735405537,1.94,2.2414684555056397,1,1,7.953161400141046,7.052466728683672,12.283460256605107,13.044279625280138,0.19399999999999998,7.975555555555555e-06,5.361347156799013,0.00022041093866840387,0.0002283864942239594
20260324_203025,10,6aa9a802015647ea8ec960696c2830ee,flow0.5,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,227.31949589318796,233.75949589318796,236.9621019984597,2.3194958931879626,6.44,3.202606105271741,1,1,6.608160947427567,4.868764411764581,13.475668442693994,15.6993344940938,0.644,2.6475555555555555e-05,7.123405051095574,0.00029285109654504025,0.0003193266521005958
20260324_203025,10,10f63f9ef1644d28946f55811d5c0f45,flow0.11,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,228.77886156811277,231.25886156811276,234.37470581234547,3.7788615681127737,2.48,3.1158442442327043,1,1,4.4612858762434096,5.524710689060452,16.400632466542838,14.737908396427397,0.24799999999999997,1.0195555555555554e-05,8.45262793446183,0.0003474969261945419,0.00035769248175009745
20260324_203025,10,181563262af349458de801a4db799a04,flow0.6,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,227.21330568020412,232.6833056802041,235.5905726948716,2.2133056802041153,5.47,2.9072670146674966,1,1,6.933580139061055,5.28468321140856,13.155636141231124,15.068885871256642,0.5469999999999999,2.2487777777777777e-05,6.57420620220536,0.0002702729216462204,0.0002927606994239982
20260324_203025,10,6d3db814bb0b4534926ae1354c441edf,flow0.1,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,227.78374056059243,234.31374056059244,238.25140664973114,2.7837405605924346,6.53,3.937666089138702,1,1,5.5392989576171034,3.879964966460559,14.71848876317652,17.586390849067534,0.653,2.6845555555555557e-05,8.690239694300487,0.00035726540965457556,0.0003841109652101311
20260324_203025,10,7c04ed9b2469460cae72a9bf9b16ee66,flow0.8,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,227.05663390253335,234.69663390253334,237.49222723794034,2.056633902533349,7.64,2.7955933354070055,1,1,7.527646532020336,5.4627679550145665,12.625861294520714,14.821229987084207,0.7639999999999999,3.140888888888889e-05,6.250023905643857,0.0002569454272320252,0.0002883543161209141
20260324_203025,10,612533092bcd4bd8b78cb4eb9783fa39,flow0.22,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,227.06487463934113,229.33487463934114,231.19798227594038,2.0648746393411272,2.27,1.8631076365992385,1,1,8.051220096244425,9.310581850079622,12.208428764668794,11.35277973549909,0.22699999999999998,9.332222222222221e-06,4.859536094239985,0.00019978092831875494,0.00020911315054097717
20260324_203025,10,7439a0c84cc8439dba57f0e4ee0afcc2,flow0.21,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,228.7008229348965,233.0708229348965,236.044186939153,3.7008229348965074,4.37,2.9733640042564957,1,1,4.520406189761444,5.7722033906191115,16.293031327692912,14.418490984950001,0.437,1.7965555555555554e-05,8.160868941281251,0.0003355023898082292,0.00035346794536378475
20260324_203025,10,ef4d4378072c418390660023bb08e754,flow0.3,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,225.0,250.0,227.57889267754112,233.63889267754112,237.19537132081464,2.57889267754112,6.06,3.556478643273522,1,1,5.963037567774047,4.282125868779158,14.185898570098033,16.74021026459787,0.6059999999999999,2.4913333333333327e-05,7.9136106424514026,0.000325337326411891,0.0003502506597452243
20260324_203025,11,0f6739db85574684b10b5dbe4a89e90d,flow0.9,1,0,out_of_range,out_of_range,UL,,out_of_range,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,254.43330976155175,256.37330976155175,-1.0,4.4333097615517545,1.94,0.0,1,0,3.3787092659066436,3.017550889700102,18.845827499927083,19.941752484029553,0.19399999999999998,7.975555555555555e-06,4.4333097615517545,0.0001822582901971277,0.00019023384575268324
20260324_203025,11,0b9abd7dfafd49f9a1100faa67f2bf9c,flow0.13,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,254.71111746717094,260.15111746717093,264.1288172607767,4.711117467170936,5.44,3.9776997936057796,1,1,3.5389355682418255,4.271606553926166,18.41426102998421,16.760809921862514,0.544,2.2364444444444448e-05,10.677667157579606,0.00043897076092271715,0.0004613352053671616
20260324_203025,11,10f63f9ef1644d28946f55811d5c0f45,flow0.14,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,254.85619932001507,257.53619932001504,261.8348599965931,4.856199320015065,2.68,4.298660676578038,1,1,3.4297923880269976,3.9013199452529426,18.704956689576093,17.53819275846246,0.268,1.1017777777777779e-05,11.304190334882122,0.00046472782487848725,0.000475745602656265
20260324_203025,11,181563262af349458de801a4db799a04,flow0.11,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,251.9754397972006,254.4554397972006,257.22138572723935,1.9754397972006075,2.48,2.765945930038754,1,1,8.048802124765901,6.907784727009241,12.210262417391242,13.180176485874878,0.24799999999999997,1.0195555555555554e-05,6.124358692258738,0.0002517791906817481,0.00026197474623730366
20260324_203025,11,612533092bcd4bd8b78cb4eb9783fa39,flow0.25,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,253.91883884034894,255.61883884034893,259.130374158442,3.91883884034894,1.7,3.511535318093081,1,1,4.1981352639068765,4.936301372314582,16.906838700817605,15.5915678787511,0.16999999999999998,6.988888888888889e-06,9.186141817488561,0.00037765249694119644,0.00038464138583008535
20260324_203025,11,6aa9a802015647ea8ec960696c2830ee,flow0.23,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,253.6239604395809,264.2339604395809,266.8371836011543,3.6239604395809124,10.61,2.6032231615733963,1,1,4.598246189429912,6.467151984603905,16.154536920289246,13.62178713330617,1.061,4.361888888888889e-05,7.528795181941007,0.00030951713525757476,0.0003531360241464637
20260324_203025,11,6d3db814bb0b4534926ae1354c441edf,flow0.28,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,254.29710046437248,257.30710046437247,261.14805918998536,4.297100464372477,3.01,3.840958725612893,1,1,3.886943305978386,4.54306450163823,17.570597084088718,16.252350192290823,0.30099999999999993,1.2374444444444442e-05,10.058538552791816,0.0004135176960592191,0.0004258921405036636
20260324_203025,11,7439a0c84cc8439dba57f0e4ee0afcc2,flow0.24,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,253.7823317400933,257.8623317400933,261.0111396932926,3.782331740093298,4.08,3.1488079531993094,1,1,4.39315383824115,5.429952011359149,16.527319289268384,14.865948615389478,0.408,1.6773333333333334e-05,8.505543669892262,0.0003496723508733486,0.00036644568420668194
20260324_203025,11,7c04ed9b2469460cae72a9bf9b16ee66,flow0.15,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,255.00472176677962,261.20472176677964,265.38813421231555,5.004721766779625,6.2,4.183412445535907,1,1,3.388562109640897,4.068431436323044,18.818408765671727,17.1742239726276,0.62,2.548888888888889e-05,11.279840435083486,0.00046372677344232107,0.0004892156623312099
20260324_203025,11,ef4d4378072c418390660023bb08e754,flow0.12,1,1,,committed,OK,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,275.0,254.56948061350022,258.7694806135002,262.70613985021254,4.569480613500218,4.2,3.9366592367123303,1,1,3.6516660866729396,4.239842846122795,18.12779970171065,16.82347640330895,0.42,1.7266666666666665e-05,10.474469468568714,0.0004306170781522693,0.000447883744818936
