round,selected,received,kept,dropped,agg_scalar,train_loss,train_acc,val_loss,val_acc
1,0,0,0,0,,,,,
2,0,0,0,0,,,,,
3,0,0,0,0,,,,,
4,0,0,0,0,,,,,
5,0,0,0,0,,,,,
6,0,0,0,0,,,,,
7,0,0,0,0,,,,,
8,0,0,0,0,,,,,
9,10,10,10,0,8.88557101,1.403655,0.491108,1.433645,0.470636
10,10,10,10,0,8.89315803,1.303176,0.554277,1.326053,0.563149
11,10,10,9,1,8.90448366,1.557907,0.467574,1.612634,0.421260
12,10,10,7,3,8.91591653,1.500825,0.427889,1.554782,0.390863
13,10,10,10,0,8.92096338,1.448932,0.467978,1.503744,0.451697
14,10,10,10,0,8.93254124,1.351115,0.515530,1.392285,0.502203
15,9,9,8,1,8.94294583,1.375364,0.502859,1.409213,0.478693
16,10,10,9,1,8.94456271,1.372482,0.522914,1.374101,0.537313
17,10,10,10,0,8.94347031,1.317309,0.542734,1.404715,0.511873
18,10,10,10,0,8.94749168,1.229661,0.591981,1.321232,0.538101
19,10,10,10,0,8.95517795,1.294018,0.552764,1.333903,0.534368
20,9,9,7,2,8.96249141,1.241697,0.582013,1.236213,0.589431
