run_id,round,m_selected,m_committed,dropout_rate,global_model_norm,co2_committed_g,co2_dropped_g,co2_total_g,ci_g_per_kwh_used,t_round_start,t_deadline
20260325_105747,2,9,9,0.0,8.88835126092387,0.0013833440341688525,0.0,0.0013833440341688525,59.0,25.0,50.0
20260325_105747,3,10,10,0.0,8.887778548697863,0.0016075443755611144,0.0,0.0016075443755611144,59.0,50.0,75.0
20260325_105747,4,10,10,0.0,8.891859420257951,0.001573475722837745,0.0,0.001573475722837745,59.0,75.0,100.0
20260325_105747,5,10,10,0.0,8.903252519062864,0.0015578640245457651,0.0,0.0015578640245457651,59.0,100.0,125.0
20260325_105747,6,10,10,0.0,8.919210616472483,0.0015444730557466985,0.0,0.0015444730557466985,59.0,125.0,150.0
20260325_105747,7,10,10,0.0,8.928010684802153,0.0013873117070877226,0.0,0.0013873117070877226,57.0,150.0,175.0
20260325_105747,8,10,10,0.0,8.946502188401304,0.0012683343388643642,0.0,0.0012683343388643642,57.0,175.0,200.0
20260325_105747,9,10,10,0.0,8.954160438832853,0.0013118774762095045,0.0,0.0013118774762095045,57.0,200.0,225.0
20260325_105747,10,10,10,0.0,8.976703653619698,0.0011508339334637386,0.0,0.0011508339334637386,57.0,225.0,250.0
20260325_105747,11,10,10,0.0,8.968170803258763,0.0011951767815336857,0.0,0.0011951767815336857,57.0,250.0,275.0
20260325_105747,12,10,10,0.0,8.98452773382812,0.0010467792157566255,0.0,0.0010467792157566255,57.0,275.0,300.0
20260325_105747,13,10,10,0.0,8.992220932038752,0.001120842201702008,0.0,0.001120842201702008,57.0,300.0,325.0
20260325_105747,14,10,10,0.0,9.000735396378746,0.0011331083991217722,0.0,0.0011331083991217722,57.0,325.0,350.0
20260325_105747,15,10,10,0.0,9.012708455758252,0.0013510630309293027,0.0,0.0013510630309293027,57.0,350.0,375.0
20260325_105747,16,10,10,0.0,9.040809018051105,0.001150551548600106,0.0,0.001150551548600106,57.0,375.0,400.0
20260325_105747,17,10,10,0.0,9.037975129131064,0.0011744014224978365,0.0,0.0011744014224978365,57.0,400.0,425.0
20260325_105747,18,10,9,0.1,9.052378530372295,0.0009117316368337845,5.563883637261802e-05,0.0009673704732064025,57.0,425.0,450.0
20260325_105747,19,10,10,0.0,9.067235946962246,0.0011261007245092422,0.0,0.0011261007245092422,57.0,450.0,475.0
20260325_105747,20,10,10,0.0,9.072902901108858,0.0011654824047837296,0.0,0.0011654824047837296,57.0,475.0,500.0
20260325_105747,21,10,10,0.0,9.083112728557658,0.001248966948764392,0.0,0.001248966948764392,57.0,500.0,525.0
20260325_105747,22,10,10,0.0,9.101844478456854,0.0011970843783172366,0.0,0.0011970843783172366,57.0,525.0,550.0
20260325_105747,23,10,10,0.0,9.10138407245381,0.0011744888878528535,0.0,0.0011744888878528535,57.0,550.0,575.0
20260325_105747,24,10,8,0.2,9.125404035686508,0.0009184102098030238,0.0,0.0009184102098030238,57.0,575.0,600.0
20260325_105747,25,10,10,0.0,9.13032756319855,0.0011748624735800316,0.0,0.0011748624735800316,57.0,600.0,625.0
20260325_105747,26,10,8,0.2,9.148096958041442,0.0008287965965906778,6.072493484212054e-05,0.0008895215314327984,57.0,625.0,650.0
20260325_105747,27,10,8,0.2,9.172610774217514,0.0008055455790293293,0.0,0.0008055455790293293,57.0,650.0,675.0
20260325_105747,28,10,10,0.0,9.176909892271526,0.0011580086046631447,0.0,0.0011580086046631447,57.0,675.0,700.0
20260325_105747,29,10,9,0.1,9.183282201932652,0.000863901965239382,6.0126839778556014e-05,0.000924028805017938,57.0,700.0,725.0
20260325_105747,30,10,10,0.0,9.189064257450907,0.0010653472180545411,0.0,0.0010653472180545411,57.0,725.0,750.0
