round,selected,received,kept,dropped,agg_scalar,train_loss,train_acc,val_loss,val_acc
1,0,0,0,0,,,,,
2,9,9,9,0,8.88835126,1.460440,0.449306,1.487310,0.445561
3,10,10,10,0,8.88777855,1.524460,0.495510,1.565874,0.483736
4,10,10,10,0,8.89185942,1.585432,0.446551,1.576621,0.469110
5,10,10,10,0,8.90325252,1.440534,0.502992,1.469718,0.505376
6,10,10,10,0,8.91921062,1.384142,0.518944,1.434740,0.517657
7,10,10,10,0,8.92801068,1.384953,0.515057,1.407413,0.518302
8,10,10,10,0,8.94650219,1.381093,0.490019,1.433484,0.462866
9,10,10,10,0,8.95416044,1.438904,0.505347,1.495470,0.503462
10,10,10,10,0,8.97670365,1.291557,0.519319,1.340905,0.505657
11,10,10,10,0,8.96817080,1.318433,0.556488,1.398784,0.515267
12,10,10,10,0,8.98452773,1.370031,0.521758,1.454287,0.484609
13,10,10,10,0,8.99222093,1.355594,0.540678,1.406322,0.526502
14,10,10,10,0,9.00073540,1.059766,0.650052,1.060227,0.655684
15,10,10,10,0,9.01270846,1.311602,0.530893,1.313036,0.518119
16,10,10,10,0,9.04080902,1.199381,0.572257,1.291559,0.559963
17,10,10,10,0,9.03797513,1.211294,0.597887,1.277622,0.577256
18,10,10,9,1,9.05237853,1.405045,0.507143,1.404315,0.512844
19,10,10,10,0,9.06723595,1.287106,0.564376,1.404829,0.512164
20,10,10,10,0,9.07290290,1.201033,0.573462,1.267023,0.536906
21,10,10,10,0,9.08311273,1.162219,0.596530,1.175241,0.596154
22,10,10,10,0,9.10184448,1.205431,0.587076,1.193214,0.581517
23,10,10,10,0,9.10138407,0.996322,0.689958,1.072721,0.649167
24,8,8,8,0,9.12540404,1.239234,0.546070,1.237452,0.541532
25,10,10,10,0,9.13032756,1.089310,0.649719,1.132603,0.642458
26,9,9,8,1,9.14809696,1.123203,0.602782,1.210139,0.557746
27,8,8,8,0,9.17261077,1.082195,0.618660,1.174683,0.592670
28,10,10,10,0,9.17690989,1.089038,0.622854,1.129032,0.604701
29,10,10,9,1,9.18328220,1.273603,0.563658,1.262966,0.569600
30,10,10,10,0,9.18906426,0.966326,0.680406,1.043040,0.643599
