run_id,round,client_id,veh_id,selected,committed,drop_reason,t_round_start,t_deadline,t_dl_done,t_ul_start,t_ul_done,t_down,t_train,t_up,dl_ok,ul_ok,dl_goodput_mbps,ul_goodput_mbps,dl_rtt_ms,ul_rtt_ms,e_comp_j,co2_comp_g,e_comm_j,co2_comm_g,co2_total_g
20260217_195229,2,049aca93722a4058bb7fa28a0e73d79a,flow0.4,1,1,,25.0,50.0,26.785515262241148,45.930525018329405,47.781903990229125,1.785515262241148,19.145009756088257,1.8513789718997202,1,1,8.969626940241028,8.988768409700333,19.399234998216215,19.32530321828878,344.6101756095886,0.019145009756088256,4.562583720090728,0.00025347687333837377,0.01939848662942663
20260217_195229,2,5d64e4c3705c4f49a3059be5d3221e94,flow0.5,1,0,deadline,25.0,50.0,26.81000686071641,54.410982374174665,-1.0,1.8100068607164097,27.600975513458252,0.0,1,0,8.878708569842727,0.0,19.753655613964057,0.0,496.81755924224854,0.027600975513458255,1.8100068607164097,0.00010055593670646721,0.027701531450164723
20260217_195229,2,67796efa8fa547efb4f5a4f5665fd43d,flow0.0,1,1,,25.0,50.0,26.817413151975426,36.28022605251864,38.071954122182476,1.8174131519754262,9.462812900543213,1.791728069663833,1,1,8.819081129982392,9.04042715371258,19.989067057430223,19.126950380491913,170.33063220977783,0.009462812900543212,4.505005256471176,0.0002502780698039542,0.009713090970347166
20260217_195229,2,6ed3df4a071c45ffa4ad01d47a951637,flow0.2,1,1,,25.0,50.0,26.82781465189507,33.771232916284106,35.601572901703285,1.8278146518950713,6.943418264389038,1.8303399854191795,1,1,8.73438937566097,8.900746925739487,20.327567957738168,19.667246650412018,124.98152875900269,0.006943418264389038,4.573324630023841,0.00025407359055688004,0.007197491854945918
20260217_195229,2,7e04118a4bb9430f83f1d5d4093a191a,flow0.8,1,0,deadline,25.0,50.0,26.909462025674397,55.494459441217,-1.0,1.9094620256743973,28.584997415542603,0.0,1,0,8.386364900139052,0.0,21.771991305361695,0.0,514.5299534797668,0.028584997415542605,1.9094620256743973,0.00010608122364857763,0.02869107863919118
20260217_195229,2,8ab46e6ac96b491ea12e5f38bb416eac,flow0.3,1,0,deadline,25.0,50.0,26.800612304747403,52.80733833128244,-1.0,1.8006123047474034,26.006726026535034,0.0,1,0,8.858334061582232,0.0,19.83382758306672,0.0,468.1210684776306,0.026006726026535035,1.8006123047474034,0.00010003401693041131,0.026106760043465446
20260217_195229,2,ab822fca30364fd790a4b804455af812,flow0.7,1,0,deadline,25.0,50.0,26.890302977412432,55.66513975605318,-1.0,1.890302977412432,28.774836778640747,0.0,1,0,8.487516380545184,0.0,21.34303171217146,0.0,517.9470620155334,0.028774836778640744,1.890302977412432,0.00010501683207846845,0.028879853610719212
20260217_195229,2,c38d304280e141d5a7bcbea355e84760,flow0.1,1,0,deadline,25.0,50.0,26.83414817442719,53.9121589719278,-1.0,1.8341481744271917,27.07801079750061,0.0,1,0,8.735576791550892,0.0,20.322788026677806,0.0,487.404194355011,0.027078010797500607,1.8341481744271917,0.00010189712080151064,0.027179907918302118
20260217_195229,2,cbbd8d4ea7144d209780068a1fa4db92,flow0.6,1,0,deadline,25.0,50.0,26.856609078906708,51.10138604309433,-1.0,1.8566090789067076,24.244776964187622,0.0,1,0,8.652181053982408,0.0,20.660885242523864,0.0,436.4059853553772,0.02424477696418762,1.8566090789067076,0.00010314494882815041,0.024347921913015772
20260217_195229,3,049aca93722a4058bb7fa28a0e73d79a,flow0.4,1,0,deadline,50.0,75.0,51.77161946110308,73.83386745266498,-1.0,1.7716194611030787,22.06224799156189,0.0,1,0,9.036203149707458,9.750321870496185,19.14310530724492,16.56292485652316,397.120463848114,0.022062247991561888,1.7716194611030787,9.842330339461548e-05,0.022160671294956504
