run_id,round,client_id,veh_id,selected,committed,drop_reason,t_round_start,t_deadline,t_dl_done,t_ul_start,t_ul_done,t_down,t_train,t_up,dl_ok,ul_ok,dl_goodput_mbps,ul_goodput_mbps,dl_rtt_ms,ul_rtt_ms,e_comp_j,co2_comp_g,e_comm_j,co2_comm_g,co2_total_g
20260214_153549,2,0b43e2b14abd458e967a401f83403b86,flow0.4,1,1,,25.0,50.0,26.785515262241148,26.827710105533384,28.685754025186636,1.785515262241148,0.04219484329223633,1.8580439196532517,1,1,8.969626940241028,8.95510150489876,19.399234998216215,19.455495982981667,0.7595071792602539,4.2194843292236323e-05,4.572581141721026,0.0002540322856511681,0.00029622712894340444
20260214_153549,2,0b94ca284725400ea486d9a33acbcc20,flow0.5,1,1,,25.0,50.0,26.81000686071641,26.837941173536844,28.687642731592476,1.8100068607164097,0.02793431282043457,1.8497015580556315,1,1,8.878708569842727,8.97014487927572,19.753655613964057,19.397231402279647,0.5028176307678223,2.7934312820434572e-05,4.584559197799857,0.0002546977332111031,0.0002826320460315377
20260214_153549,2,2619b319acaa4ef79628bf35108d62ae,flow0.0,1,1,,25.0,50.0,26.817413151975426,26.84148365330294,28.706511950639687,1.8174131519754262,0.02407050132751465,1.865028297336746,1,1,8.819081129982392,8.874760144494298,19.989067057430223,19.769170764271657,0.43326902389526367,2.407050132751465e-05,4.614955597980545,0.0002563864221100303,0.00028045692343754496
20260214_153549,2,2691870f725e4ff29ee9abc79e0babad,flow0.2,1,1,,25.0,50.0,26.82781465189507,26.922322822976614,28.836817762038606,1.8278146518950713,0.09450817108154297,1.914494939061992,1,1,8.73438937566097,8.716227772440678,20.327567957738168,20.40079899113841,1.7011470794677734,9.450817108154297e-05,4.699557060488059,0.0002610865033604477,0.0003555946744419907
20260214_153549,2,a0c90ffa6a314b658be64f3cf1311b79,flow0.8,1,1,,25.0,50.0,26.909462025674397,26.976145079644734,28.899430293842677,1.9094620256743973,0.06668305397033691,1.9232852141979428,1,1,8.386364900139052,8.440727343398288,21.771991305361695,21.540494470019183,1.2002949714660645,6.66830539703369e-05,4.7943898469713115,0.0002663549914984062,0.00033303804546874316
20260214_153549,2,aeb0fdfa98b445a8b1f6ac8108d56ac5,flow0.3,1,1,,25.0,50.0,26.800612304747403,26.860660169661344,28.719273154398635,1.8006123047474034,0.06004786491394043,1.8586129847372916,1,1,8.858334061582232,8.764107654943592,19.83382758306672,20.208229563011415,1.0808615684509277,6.004786491394043e-05,4.588531781853341,0.0002549184323251856,0.000314966297239126
20260214_153549,2,b2b6ac02f98a421c973dc980bf560068,flow0.7,1,1,,25.0,50.0,26.890302977412432,27.001402458995074,28.968222557861143,1.890302977412432,0.1110994815826416,1.9668200988660693,1,1,8.487516380545184,8.58883070893666,21.34303171217146,20.921000243175868,1.9997906684875488,0.00011109948158264159,4.840533125711536,0.0002689185069839742,0.0003800179885666158
20260214_153549,2,c23f0d0f5e8544098f234200b78ef0e6,flow0.1,1,1,,25.0,50.0,26.83414817442719,26.921862846515815,28.82377734257967,1.8341481744271917,0.08771467208862305,1.9019144960638563,1,1,8.735576791550892,8.787525321633193,20.322788026677806,20.114619037875343,1.5788640975952148,8.771467208862304e-05,4.687019918522976,0.0002603899954734987,0.00034810466756212175
20260214_153549,2,c406908748e04422b4f3b1366968d713,flow0.6,1,1,,25.0,50.0,26.856609078906708,26.868237468265228,28.73088076447108,1.8566090789067076,0.011628389358520508,1.862643296205853,1,1,8.652181053982408,8.781647884849276,20.660885242523864,20.138078490886418,0.20931100845336914,1.1628389358520507e-05,4.650574023215487,0.0002583652235119715,0.000269993612870492
20260214_153549,3,0b43e2b14abd458e967a401f83403b86,flow0.4,1,1,,50.0,75.0,51.77161946110308,51.87060131840288,53.667608977284075,1.7716194611030787,0.09898185729980469,1.797007658881192,1,1,9.036203149707458,9.061991833210744,19.14310530724492,19.04465123130759,1.7816734313964844,9.89818572998047e-05,4.467130949424867,0.00024817394163471483,0.00034715579893451954
