run_id,round,m_selected,m_committed,dropout_rate,global_model_norm,co2_committed_g,co2_dropped_g,co2_total_g,ci_g_per_kwh_used,t_round_start,t_deadline
20260324_212557,9,6,6,0.0,8.811704623976587,0.0015932551352697112,0.0,0.0015932551352697112,134.0,200.0,225.0
20260324_212557,10,10,10,0.0,8.813844360498667,0.0028275717911998184,0.0,0.0028275717911998184,134.0,225.0,250.0
20260324_212557,11,10,9,0.1,8.819667722083448,0.0033194608532236573,0.00017223875223553752,0.003491699605459195,134.0,250.0,275.0
20260324_212557,12,10,7,0.3,8.832377655947772,0.0020580548778986823,0.0005497995683243417,0.002607854446223024,134.0,275.0,300.0
20260324_212557,13,10,10,0.0,8.83426642397194,0.0021920273733150126,0.0,0.0021920273733150126,134.0,300.0,325.0
20260324_212557,14,10,10,0.0,8.847037169208576,0.0026427971993696615,0.0,0.0026427971993696615,132.0,325.0,350.0
20260324_212557,15,10,8,0.2,8.853870898225844,0.0022592445898138537,0.00017027992075434483,0.0024295245105681986,132.0,350.0,375.0
20260324_212557,16,10,9,0.1,8.857503173051137,0.0031827218147206793,0.00015703057330897032,0.0033397523880296497,132.0,375.0,400.0
20260324_212557,17,10,10,0.0,8.859047950824165,0.0026961543241937336,0.0,0.0026961543241937336,132.0,400.0,425.0
20260324_212557,18,10,10,0.0,8.862006521759987,0.002700789892693741,0.0,0.002700789892693741,132.0,425.0,450.0
20260324_212557,19,10,10,0.0,8.87190821931408,0.0026573159073859367,0.0,0.0026573159073859367,132.0,450.0,475.0
20260324_212557,20,10,7,0.3,8.879821900077681,0.001955848274414783,0.0003663565062428578,0.002322204780657641,132.0,475.0,500.0
20260324_212557,21,10,9,0.1,8.877547989590736,0.002426236018348517,0.0,0.002426236018348517,132.0,500.0,525.0
20260324_212557,22,10,6,0.4,8.887166935371784,0.002052819109113632,0.0003404320081755686,0.002393251117289201,132.0,525.0,550.0
20260324_212557,23,10,9,0.1,8.896702137174257,0.0023286986821143035,0.00015965787587317342,0.002488356557987477,132.0,550.0,575.0
20260324_212557,24,10,6,0.4,8.908405830659348,0.0014771554104023314,0.0004943179943433069,0.0019714734047456385,132.0,575.0,600.0
20260324_212557,25,10,10,0.0,8.918580152372433,0.002873410775295432,0.0,0.002873410775295432,132.0,600.0,625.0
20260324_212557,26,10,9,0.1,8.923240703906844,0.002845497482290697,0.00015576343858846528,0.0030012609208791624,132.0,625.0,650.0
20260324_212557,27,10,10,0.0,8.930041637475563,0.00331511829982762,0.0,0.00331511829982762,132.0,650.0,675.0
20260324_212557,28,10,9,0.1,8.932587801546463,0.0027308092977325472,0.0,0.0027308092977325472,132.0,675.0,700.0
20260324_212557,29,10,10,0.0,8.946947812103375,0.003189108338166848,0.0,0.003189108338166848,132.0,700.0,725.0
20260324_212557,30,10,9,0.1,8.948161349728098,0.0018929569138367156,0.0,0.0018929569138367156,132.0,725.0,750.0
